dataset_size,io.sort.mb,io.sort.spill.percent,io.sort.factor,Execution_time
1200,100,50,10,930
1200,100,60,10,930
1200,100,70,10,1103
1200,100,80,10,1031
1200,100,90,10,1022
1200,120,50,10,1084
1200,120,60,10,1085
1200,120,70,10,1002
1200,120,80,10,1101
1200,120,90,10,1023
1200,140,80,10,1069
1200,160,80,10,1193
1200,180,80,10,1028
1200,200,80,10,1041
1200,140,50,10,955
1200,140,60,10,1067
1200,140,70,10,1096
1200,140,90,10,1013
1200,160,50,10,1144
1200,160,60,10,1109
1200,160,70,10,1194
1200,160,90,10,1194
1200,180,50,10,1075
1200,180,60,10,975
1200,180,70,10,1041
1200,180,90,10,1081
1200,200,50,10,1093
1200,200,60,10,1163
1200,200,70,10,1093
1200,200,90,10,1116
832.4,100,50,10,668
832.4,100,60,10,706
832.4,100,70,10,754
832.4,100,80,10,660
832.4,100,90,10,553
832.4,100,100,10,5293
832.4,120,50,10,723
832.4,120,60,10,741
832.4,120,70,10,751
832.4,120,80,10,762
832.4,120,90,10,686
832.4,120,100,10,5726
832.4,140,80,10,746
832.4,160,80,10,777
832.4,180,80,10,694
832.4,200,80,10,672
832.4,140,50,10,610
832.4,140,60,10,685
832.4,140,70,10,872
832.4,140,90,10,930
832.4,140,100,10,596
832.4,160,50,10,776
832.4,160,60,10,766
832.4,160,70,10,806
832.4,160,90,10,815
832.4,180,50,10,651
832.4,180,60,10,643
832.4,180,70,10,754
832.4,180,90,10,662
832.4,180,100,10,404
832.4,200,50,10,697
832.4,200,60,10,807
832.4,200,70,10,698
832.4,200,90,10,708
315,100,50,10,930
315,100,60,10,930
315,100,70,10,1103
315,100,80,10,1031
315,100,90,10,1022
315,120,50,10,1084
315,120,60,10,1085
315,120,70,10,1002
315,120,80,10,1101
315,120,90,10,1023
315,140,80,10,1069
315,160,80,10,1193
315,180,80,10,1028
315,200,80,10,1041
315,140,50,10,955
315,140,60,10,1067
315,140,70,10,1096
315,140,90,10,1013
315,160,50,10,1144
315,160,60,10,1109
315,160,70,10,1194
315,160,90,10,1194
315,180,50,10,1075
315,180,60,10,975
315,180,70,10,1041
315,180,90,10,1081
315,200,50,10,1093
315,200,60,10,1163
315,200,70,10,1093
315,200,90,10,1116
2100,100,50,10,1876
2100,100,60,10,1649
2100,100,70,10,1904
2100,100,80,10,1672
2100,100,90,10,1847
2100,120,50,10,1841
2100,120,60,10,1781
2100,120,70,10,1692
2100,120,80,10,1931
2100,120,90,10,1759
2100,140,80,10,1841
2100,160,80,10,2049
2100,180,80,10,1794
2100,200,80,10,1850
2100,140,50,10,1859
2100,140,60,10,1781
2100,140,70,10,1765
2100,140,90,10,1755
2100,160,50,10,2090
2100,160,60,10,2017
2100,160,70,10,2012
2100,160,90,10,2103
2100,180,50,10,1725
2100,180,60,10,1695
2100,180,70,10,1753
2100,180,90,10,1714
2100,200,50,10,1878
2100,200,60,10,1817
2100,200,70,10,1888
2100,200,90,10,1834
832.4,100,50,11,751
832.4,100,60,11,606
832.4,100,70,11,759
832.4,100,80,11,549
832.4,100,90,11,664
832.4,120,50,11,736
832.4,120,60,11,742
832.4,120,70,11,750
832.4,120,80,11,725
832.4,120,90,11,762
832.4,140,80,11,816
832.4,160,80,11,782
832.4,180,80,11,657
832.4,200,80,11,651
832.4,140,50,11,805
832.4,140,60,11,779
832.4,140,70,11,815
832.4,140,90,11,681
832.4,160,50,11,776
832.4,160,60,11,781
832.4,160,70,11,820
832.4,160,90,11,804
832.4,180,50,11,676
832.4,180,60,11,772
832.4,180,70,11,811
832.4,180,90,11,829
832.4,200,50,11,834
832.4,200,60,11,823
832.4,200,70,11,905
832.4,200,90,11,931
